baralho,disciplina,card,vistas,acertos,erros,seq,quase,seq_quase,ultima,ultima_rodada
432-embriaguez,Legislação de Trânsito,cc74f901d7,9,5,4,5,0,0,2026-08-02,2026-08-02
432-embriaguez,Legislação de Trânsito,592aee5258,6,5,1,5,0,0,2026-08-02,2026-08-02
432-embriaguez,Legislação de Trânsito,90f122b8e1,6,6,0,6,0,0,2026-08-02,2026-08-02
432-embriaguez,Legislação de Trânsito,2a1c914ae6,7,5,2,5,0,0,2026-08-02,2026-08-02
432-embriaguez,Legislação de Trânsito,4db8b34260,6,5,1,5,0,0,2026-08-02,2026-08-02
432-embriaguez,Legislação de Trânsito,f380e9aaa8,6,6,0,6,0,0,2026-08-02,2026-08-02
432-embriaguez,Legislação de Trânsito,aa1a4f47d7,11,6,5,3,0,0,2026-08-14,2026-08-02
432-embriaguez,Legislação de Trânsito,ad0e6dfc56,6,5,1,5,0,0,2026-08-02,2026-08-02
432-embriaguez,Legislação de Trânsito,a3ec77a663,11,6,5,5,0,0,2026-08-16,2026-08-02
432-embriaguez,Legislação de Trânsito,fb8849891d,6,6,0,6,0,0,2026-08-02,2026-08-02
432-embriaguez,Legislação de Trânsito,ffb985eb46,7,5,2,4,0,0,2026-08-14,2026-08-02
432-embriaguez,Legislação de Trânsito,f1396b3969,7,5,2,5,0,0,2026-08-02,2026-08-02
432-embriaguez,Legislação de Trânsito,95fe776702,14,7,7,3,0,0,2026-08-16,2026-08-02
432-embriaguez,Legislação de Trânsito,237c531efc,6,5,1,5,0,0,2026-08-02,2026-08-02
432-embriaguez,Legislação de Trânsito,1813e14049,6,5,1,5,0,0,2026-08-02,2026-08-02
432-embriaguez,Legislação de Trânsito,9116caa9d6,6,6,0,6,0,0,2026-08-02,2026-08-02
432-embriaguez,Legislação de Trânsito,7ff9835865,6,6,0,6,0,0,2026-08-02,2026-08-02
432-embriaguez,Legislação de Trânsito,c07bd3636b,10,5,5,1,0,0,2026-08-16,2026-08-02
432-embriaguez,Legislação de Trânsito,b86cfd639a,6,6,0,6,0,0,2026-08-02,2026-08-02
432-embriaguez,Legislação de Trânsito,86172f45c1,6,5,1,5,0,0,2026-08-02,2026-08-02
teste,Legislação de Trânsito,d2b892c159,1,1,0,1,0,0,2026-08-02,2026-08-02
teste,Legislação de Trânsito,f5257f15a2,1,1,0,1,0,0,2026-08-02,2026-08-02
teste-2,Legislação de Trânsito,df52139874,2,1,1,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,4a1d62462e,3,1,2,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,651c4289cc,3,1,2,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,6e21cf807e,2,1,1,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,f73b969ad7,1,1,0,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,3879117bdc,2,1,1,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,d2b892c159,2,1,1,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,029756caf9,2,1,1,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,989a04f821,2,1,1,1,0,0,2026-08-28,2026-08-28
teste-2,Legislação de Trânsito,55174d8676,1,1,0,1,0,0,2026-08-28,2026-08-28
