data,disciplina,tipo,inicio_min,fim_min,duracao_min
2026-04-25,Língua Portuguesa,Não classificado,1082.0,1132.0,50.0
2026-04-25,Língua Portuguesa,Não classificado,1132.0,1166.0,34.0
2026-04-25,Língua Portuguesa,Não classificado,1184.0,1246.0,62.0
2026-04-25,Língua Portuguesa,Não classificado,1248.0,1290.0,42.0
2026-04-25,Raciocínio Lógico,Não classificado,1343.0,1369.0,26.0
2026-04-25,Ética,Não classificado,1373.0,1415.0,42.0
2026-04-26,Ética,Não classificado,901.0,955.0,54.0
2026-04-26,Legislação Específica,Não classificado,981.0,1025.0,44.0
2026-04-26,Legislação Específica,Não classificado,1025.0,1063.0,38.0
2026-04-26,Direito Constitucional,Não classificado,1150.0,1218.0,68.0
2026-04-26,Direito Administrativo,Não classificado,1281.0,1359.0,78.0
2026-05-01,Direito Administrativo,Não classificado,1119.0,1137.0,18.0
2026-05-01,Direito Penal,Não classificado,1260.0,1324.0,64.0
2026-05-01,Legislação Específica,Não classificado,1324.0,1365.0,41.0
2026-05-09,Informática,Não classificado,1075.0,1114.0,39.0
2026-05-10,Legislação Complementar,Não classificado,952.0,1064.0,112.0
2026-05-10,Raciocínio Lógico,Não classificado,1105.0,1113.0,8.0
2026-05-10,Atualidades,Não classificado,1115.0,1143.0,28.0
2026-05-11,Atualidades,Não classificado,1217.0,1256.0,39.0
2026-05-11,Direito Constitucional,Não classificado,1264.0,1284.0,20.0
2026-05-12,Direito Constitucional,Não classificado,842.0,869.0,27.0
2026-05-12,Direito Constitucional,Não classificado,874.0,914.0,40.0
2026-05-12,Direito Constitucional,Não classificado,931.0,958.0,27.0
2026-05-12,Ciências Exatas,Não classificado,962.0,1017.0,55.0
2026-05-12,Ciências Exatas,Não classificado,1037.0,1103.0,66.0
2026-05-12,Ciências Exatas,Não classificado,1109.0,1127.0,18.0
2026-05-12,Legislação Específica,Não classificado,1177.0,1212.0,35.0
2026-05-12,Legislação Específica,Não classificado,1216.0,1255.0,39.0
2026-05-13,Ciências Exatas,Não classificado,877.0,971.0,94.0
2026-05-13,Legislação Específica,Não classificado,1005.0,1063.0,58.0
2026-05-13,Legislação Específica,Não classificado,1067.0,1084.0,17.0
2026-05-13,Legislação Específica,Não classificado,1153.0,1167.0,14.0
2026-05-13,Legislação Específica,Não classificado,1177.0,1217.0,40.0
2026-05-13,Legislação Específica,Não classificado,1281.0,1298.0,17.0
2026-05-14,Língua Estrangeira,Não classificado,920.0,978.0,58.0
2026-05-14,Língua Estrangeira,Não classificado,1005.0,1019.0,14.0
2026-05-14,Língua Estrangeira,Não classificado,1021.0,1067.0,46.0
2026-05-14,Direito Administrativo,Não classificado,1223.0,1251.0,28.0
2026-05-15,Direito Administrativo,Não classificado,924.0,948.0,24.0
2026-05-15,Direito Administrativo,Não classificado,968.0,973.0,5.0
2026-05-15,Direito Processual,Não classificado,998.0,1063.0,65.0
2026-05-15,Informática,Não classificado,1101.0,1125.0,24.0
2026-05-15,Informática,Não classificado,1126.0,1154.0,28.0
2026-05-15,Direito Processual,Não classificado,1229.0,1271.0,42.0
2026-05-15,Direito Processual,Não classificado,1276.0,1288.0,12.0
2026-05-17,Legislação Complementar,Revisão,722.0,749.0,27.0
2026-05-17,Legislação Complementar,Teoria,812.0,872.0,60.0
2026-05-17,Legislação Complementar,Questões,888.0,949.0,61.0
2026-05-17,Língua Portuguesa,Questões,990.0,1002.0,12.0
2026-05-17,Língua Portuguesa,Questões,1009.0,1025.0,16.0
2026-05-20,Língua Portuguesa,Questões,1014.0,1048.0,34.0
2026-05-20,Língua Portuguesa,Questões,1049.0,1081.0,32.0
